[4.88-6.88] 大家好 欢迎回到LeapTV
[6.88-8.88] 报款短剧制作的第八节课
[114.88-116.88] 不是直白的大喜大悲
[116.88-118.88] 而是微表情和表情渐变
[118.88-120.88] 比如人物从平静
[120.88-122.88] 过度到愤怒的过程
[122.88-124.88] 眼神里闪过一丝沙翼
[124.88-126.88] 嘴角不自觉抽洞
[126.88-128.88] 这些细节能让人物瞬间有血有肉
[128.88-130.88] 也是精品短句的标配
[130.88-132.88] 来看看微表情控制技巧
[132.88-134.88] 微表情的核心是
[134.88-136.88] 细微短暂不易察觉
[136.88-138.88] 所以提示此理绝对不能写
[138.88-140.88] 过于夸张的描述
[140.88-142.88] 要突出细微微不可查
[142.88-144.88] 一闪而过随即恢复这类关键词
[144.88-146.88] 这是微表情万能提示此模板
[146.88-148.88] 还有很多漫距里对手戏时
[148.88-150.88] 只会出现说话
[150.88-152.88] 主角带有表情
[152.88-154.88] 其余配角全都像木头人一样
[154.88-156.88] 呆呆站立整体画面观感非常出戏
[156.88-158.88] 今天就把这个问题彻底解决
[158.88-160.88] 核心原则就是
[160.88-162.88] 主角表情精细突出
[162.88-164.88] 配角表情贴合人设
[164.88-166.88] 做到主次分明
[166.88-168.88] 全员带有情绪
[168.88-170.88] 这是多人场景表情万能提示此模板
[170.88-172.88] 咱们直接套用到
[172.88-174.88] 完整对峙场景中
[174.88-176.88] 覆盖全部3个人物
[176.88-178.88] 讲到这里肯定有同学会说
[178.88-180.88] 一个剧本有几十个上百个分镜
[180.88-182.88] 每个分镜都要拆解表情细节
[182.88-184.88] 太耗费时间有没有提速的办法
[184.88-186.88] 当然有使用豆包和Deep Seek
[186.88-188.88] 这两个大语言模型
[188.88-190.88] 就能批量生成专业级表情提示此
[190.88-192.88] 效率直接提升10倍
[192.88-194.88] 豆包上手简单
[194.88-196.88] 理解速度快
[196.88-198.88] 适合生成常规对话
[198.88-200.88] 普通情绪的表情描述
[200.88-202.88] 现在直接复制这段万能指令
[202.88-204.88] 打开豆包全新对话界面
[204.88-206.88] 粘贴指令
[206.88-208.88] 在墨尾替换成你的画面需求即可
[208.88-210.88] 输入需求确认无误后
[210.88-214.13] 点击生成
[214.13-216.13] 短短几秒豆包就能产出5个分镜的
[216.13-218.13] 完成表情描述
[218.13-220.13] 直接复制粘贴到LeapTV就能使用
[220.13-222.13] 不用逐字手动撰写
[222.13-224.13] 如果是复杂打斗
[224.13-226.13] 表情微表情见遍
[226.13-228.13] 大场面情绪镜头
[228.13-230.13] 豆包对细节的把控有时不够精准
[230.13-232.13] 它对动态细节情绪层次的理解更强
[232.13-234.13] 生成的提示词
[234.13-236.13] 专业度更高
[236.13-238.13] deep seek万能指令如下
[238.13-240.13] 日常标准工作流程
[240.13-242.13] 常规分镜用豆包
[242.13-244.13] 辟量生成
[244.13-246.13] 核心打斗高光镜头
[246.13-248.13] 用deep seek优化细节强化画面冲击力
[248.13-250.13] 好了
[250.13-252.13] 今天这节课的内容就全部讲完了
[252.13-254.13] 下一节课将进入整套系列
[254.13-256.13] 视觉冲击力最强的板块
[256.13-258.13] 完整讲解神话题材
[258.13-260.13] 用手把手实操教学
[260.13-262.13] 同样配套万能词组模板
[262.13-264.13] 与各类避坑技巧
[264.13-266.13] 咱们下节课再见
